scorer,contaminant,n,fraction,n_contaminating,repeats,im_size,detect,detect_lo,detect_hi,KS_mean
entropy-2-mse,uniform,100,0.0,0,500,256,0.048,0.03246497509125218,0.07042768006068446,0.11660000000000002
entropy-2-mse,uniform,100,0.005,0,500,256,0.018,0.009498085051756854,0.03385204721203399,0.11748000000000001
entropy-2-mse,uniform,100,0.01,1,500,256,0.046,0.030844883399787512,0.06807827022627275,0.11992000000000001
entropy-2-mse,uniform,100,0.02,2,500,256,0.014,0.006797703071787358,0.02861342614025071,0.11492000000000002
entropy-2-mse,uniform,100,0.05,5,500,256,0.038,0.024459922123289107,0.0585852253992656,0.12026
entropy-2-mse,uniform,100,0.1,10,500,256,0.028,0.01675081930862122,0.04644682058455155,0.12142000000000001
entropy-2-mse,uniform,100,0.2,20,500,256,0.09,0.0679421955899675,0.11830999160537325,0.13894
entropy-2-mse,uniform,100,0.5,50,500,256,0.624,0.5807483730601202,0.6653607215442159,0.20884
entropy-2-mse,uniform,100,1.0,100,500,256,1.0,0.9923753814690964,0.9999999999999999,0.34356000000000003
entropy-2-mse,uniform,250,0.0,0,500,256,0.046,0.030844883399787512,0.06807827022627275,0.07588
entropy-2-mse,uniform,250,0.005,1,500,256,0.066,0.04737823802541255,0.09123993085941157,0.07666400000000001
entropy-2-mse,uniform,250,0.01,2,500,256,0.042,0.027632099334746148,0.06335205123956134,0.075808
entropy-2-mse,uniform,250,0.02,5,500,256,0.054,0.03737409848513375,0.07742706124443205,0.07602400000000001
entropy-2-mse,uniform,250,0.05,12,500,256,0.056,0.03902536261505807,0.07974529864038413,0.076824
entropy-2-mse,uniform,250,0.1,25,500,256,0.104,0.08019382152134363,0.13384487635513181,0.08764
entropy-2-mse,uniform,250,0.2,50,500,256,0.262,0.22537563309481617,0.30225368532589386,0.10537600000000001
entropy-2-mse,uniform,250,0.5,125,500,256,1.0,0.9923753814690964,0.9999999999999999,0.184688
entropy-2-mse,uniform,250,1.0,250,500,256,1.0,0.9923753814690964,0.9999999999999999,0.3242
entropy-2-mse,uniform,500,0.0,0,500,256,0.054,0.03737409848513375,0.07742706124443205,0.052972000000000005
entropy-2-mse,uniform,500,0.005,2,500,256,0.042,0.027632099334746148,0.06335205123956134,0.053416000000000005
entropy-2-mse,uniform,500,0.01,5,500,256,0.042,0.027632099334746148,0.06335205123956134,0.05306400000000001
entropy-2-mse,uniform,500,0.02,10,500,256,0.058,0.040683464783922846,0.08205669799739573,0.05486800000000001
entropy-2-mse,uniform,500,0.05,25,500,256,0.064,0.045695733565557124,0.08895293379339062,0.056524
entropy-2-mse,uniform,500,0.1,50,500,256,0.176,0.14512588004549448,0.21181487276253086,0.06695599999999999
entropy-2-mse,uniform,500,0.2,100,500,256,0.568,0.5242245356147506,0.6107385162650465,0.08980800000000001
entropy-2-mse,uniform,500,0.5,250,500,256,1.0,0.9923753814690964,0.9999999999999999,0.170808
entropy-2-mse,uniform,500,1.0,500,500,256,1.0,0.9923753814690964,0.9999999999999999,0.315836
entropy-2-mse,uniform,1000,0.0,0,500,256,0.038,0.024459922123289107,0.0585852253992656,0.037462
entropy-2-mse,uniform,1000,0.005,5,500,256,0.054,0.03737409848513375,0.07742706124443205,0.03816800000000001
