comparison,expected,representation,dims,test,n,repeats,im_size,detect,detect_lo,detect_hi,effect_mean,effect_sd
control-disjoint,accept,AE-scalar,1,KS,250,200,256,0.025,0.010724561470787711,0.05717914415161715,0.07362,0.021354521769405187
control-disjoint,accept,AE-scalar,1,C2ST,250,200,256,0.05,0.027382349028644986,0.08957905629784384,0.50358,0.03254387192698498
control-disjoint,accept,AE-64d,64,C2ST,250,200,256,0.055,0.030985020801370097,0.0957879244659355,0.49823999999999996,0.03312676259461526
control-disjoint,accept,jpeg-scalar,1,KS,250,200,256,0.04,0.02040538715065641,0.07693293829419882,0.07311999999999999,0.022507456542221735
control-disjoint,accept,jpeg-scalar,1,C2ST,250,200,256,0.025,0.010724561470787711,0.05717914415161715,0.49914000000000003,0.031250926386268946
control-disjoint,accept,AE-scalar,1,KS,500,200,256,0.035,0.017055324637357105,0.07047146086668134,0.05278000000000001,0.016004736798835524
control-disjoint,accept,AE-scalar,1,C2ST,500,200,256,0.05,0.027382349028644986,0.08957905629784384,0.50075,0.021778372299141195
control-disjoint,accept,AE-64d,64,C2ST,500,200,256,0.045,0.023852271724704166,0.08329759366096785,0.49889000000000006,0.023280633582443592
control-disjoint,accept,jpeg-scalar,1,KS,500,200,256,0.045,0.023852271724704166,0.08329759366096785,0.05310000000000001,0.015768005580922402
control-disjoint,accept,jpeg-scalar,1,C2ST,500,200,256,0.07,0.04215178292291873,0.11405578216683726,0.50232,0.022288508249768545
control-disjoint,accept,AE-scalar,1,KS,1000,200,256,0.05,0.027382349028644986,0.08957905629784384,0.037545,0.011848543159393056
control-disjoint,accept,AE-scalar,1,C2ST,1000,200,256,0.055,0.030985020801370097,0.0957879244659355,0.5021,0.01640335331570958
control-disjoint,accept,AE-64d,64,C2ST,1000,200,256,0.045,0.023852271724704166,0.08329759366096785,0.49999000000000005,0.016248689177899872
control-disjoint,accept,jpeg-scalar,1,KS,1000,200,256,0.05,0.027382349028644986,0.08957905629784384,0.03798,0.012007481001442392
control-disjoint,accept,jpeg-scalar,1,C2ST,1000,200,256,0.04,0.02040538715065641,0.07693293829419882,0.5014400000000001,0.015846968164289352
cifar10-vs-cifar100,reject,AE-scalar,1,KS,250,200,256,0.095,0.06166261364986359,0.14360265114397636,0.08507999999999999,0.027561451340595258
cifar10-vs-cifar100,reject,AE-scalar,1,C2ST,250,200,256,0.085,0.05374529946985246,0.13189688544235392,0.51066,0.036002838776963135
cifar10-vs-cifar100,reject,AE-64d,64,C2ST,250,200,256,0.23,0.1770925624139232,0.2930842807819702,0.52972,0.03266927608625572
cifar10-vs-cifar100,reject,jpeg-scalar,1,KS,250,200,256,0.105,0.0697069624619373,0.15518138221353622,0.08402,0.02664281516656977
cifar10-vs-cifar100,reject,jpeg-scalar,1,C2ST,250,200,256,0.055,0.030985020801370097,0.0957879244659355,0.50098,0.03441278250882948
cifar10-vs-cifar100,reject,AE-scalar,1,KS,500,200,256,0.255,0.19960402982802747,0.3196305130719498,0.06905000000000001,0.02177791312316219
cifar10-vs-cifar100,reject,AE-scalar,1,C2ST,500,200,256,0.125,0.0861191515921568,0.1780153528465839,0.51166,0.023969238619530667
cifar10-vs-cifar100,reject,AE-64d,64,C2ST,500,200,256,0.58,0.5107194625547862,0.6462651764982825,0.53907,0.022928477925933062
cifar10-vs-cifar100,reject,jpeg-scalar,1,KS,500,200,256,0.145,0.1028928513530641,0.20048781284894374,0.06528,0.01979498926496299
cifar10-vs-cifar100,reject,jpeg-scalar,1,C2ST,500,200,256,0.045,0.023852271724704166,0.08329759366096785,0.4997,0.02337070816214178
cifar10-vs-cifar100,reject,AE-scalar,1,KS,1000,200,256,0.415,0.3489416917324964,0.48426212927361817,0.059155,0.017175301307400696
cifar10-vs-cifar100,reject,AE-scalar,1,C2ST,1000,200,256,0.29,0.2315392689125782,0.3563760535731166,0.51569,0.017876070597309706
cifar10-vs-cifar100,reject,AE-64d,64,C2ST,1000,200,256,0.88,0.8276563857409517,0.9180206497611246,0.54669,0.0170518004914437
cifar10-vs-cifar100,reject,jpeg-scalar,1,KS,1000,200,256,0.19,0.14167093792456506,0.250013585744794,0.05005000000000001,0.014070447754069522
cifar10-vs-cifar100,reject,jpeg-scalar,1,C2ST,1000,200,256,0.075,0.045974507057252416,0.12004459797332034,0.50082,0.018846686711462057
cifar-vs-imagenet64,reject,AE-scalar,1,KS,250,200,256,0.645,0.5765198448160798,0.7080148134676072,0.13508,0.03721227754384297
cifar-vs-imagenet64,reject,AE-scalar,1,C2ST,250,200,256,0.41,0.34415559179081295,0.4792366892744849,0.54374,0.03747228842758338
cifar-vs-imagenet64,reject,AE-64d,64,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.66862,0.031053753396328748
