comparison,expected,representation,dims,test,n,repeats,permutations,im_size,detect,detect_lo,detect_hi,effect_mean
control-disjoint,accept,AE-64d,64,energy,1000,20,199,256,0.1,0.027865893984153206,0.30103820641179335,0.02064373376842159
control-disjoint,accept,AE-64d,64,MMD,1000,20,199,256,0.05,0.008881219432873136,0.23613589351256675,0.0011926070964134172
cifar10-vs-cifar100,reject,AE-64d,64,energy,1000,20,199,256,1.0,0.8388698745050667,1.0,0.07577674774472358
cifar10-vs-cifar100,reject,AE-64d,64,MMD,1000,20,199,256,1.0,0.8388698745050667,1.0,0.006439198246703509
cifar-vs-imagenet64,reject,AE-64d,64,energy,1000,20,199,256,1.0,0.8388698745050667,1.0,0.1776765010953932
cifar-vs-imagenet64,reject,AE-64d,64,MMD,1000,20,199,256,1.0,0.8388698745050667,1.0,0.01292075536619513
cifar-vs-dtd,reject,AE-64d,64,energy,1000,20,199,256,1.0,0.8388698745050667,1.0,0.5450553254479243
cifar-vs-dtd,reject,AE-64d,64,MMD,1000,20,199,256,1.0,0.8388698745050667,1.0,0.0380242076899765
cifar-vs-oneclass,reject,AE-64d,64,energy,1000,20,199,256,1.0,0.8388698745050667,1.0,0.5156567378866973
cifar-vs-oneclass,reject,AE-64d,64,MMD,1000,20,199,256,1.0,0.8388698745050667,1.0,0.041206259622046486
cifar-vs-uniform,reject,AE-64d,64,energy,1000,20,199,256,1.0,0.8388698745050667,1.0,4.985944471641476
cifar-vs-uniform,reject,AE-64d,64,MMD,1000,20,199,256,1.0,0.8388698745050667,1.0,0.5025292014674385
