comparison,scorer,trained_on,expected,n,repeats,im_size,reject_rate,reject_lo,reject_hi,KS,KS_sd,KL
control-disjoint,entropy-2-mse,natural images,accept,4000,100,256,0.05,0.02154336145631356,0.11175196527208817,0.01927,0.00661151268621637,0.011329899363752522
cifar10-vs-cifar100,entropy-2-mse,natural images,reject,4000,100,256,0.98,0.9299868370580063,0.9944981477650318,0.047525000000000005,0.007354207979109646,0.01874241939225085
cifar-vs-imagenet64,entropy-2-mse,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.10853249999999999,0.011044096556531912,0.04250000291617637
cifar-vs-dtd,entropy-2-mse,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.0444175,0.00521297120172364,0.021487731974413064
cifar-vs-oneclass,entropy-2-mse,natural images,reject,3000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.14550999999999997,0.008704973674093832,0.06895134471148935
cifar-vs-uniform,entropy-2-mse,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.30925250000000004,0.008798827691800761,1.8648935365758803
control-disjoint,entropy-2-ssim,natural images,accept,4000,100,256,0.04,0.015663050551848016,0.09837217232607373,0.019227499999999998,0.006084210610259971,0.011418488713206833
cifar10-vs-cifar100,entropy-2-ssim,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.05498000000000001,0.008890421812265153,0.020628877733006593
cifar-vs-imagenet64,entropy-2-ssim,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.07904749999999999,0.00933827439894545,0.04463735132970102
cifar-vs-dtd,entropy-2-ssim,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.1290975,0.007882725972022624,0.0807980718538481
cifar-vs-oneclass,entropy-2-ssim,natural images,reject,3000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.2106566666666666,0.00932767149697906,0.24890431077174824
cifar-vs-uniform,entropy-2-ssim,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.5259625,0.0074642795198197115,3.5760595425565267
control-disjoint,entropy-2-nlpd,natural images,accept,4000,100,256,0.06,0.02778574526665662,0.12476968531222507,0.019872499999999998,0.006142932422711486,0.012526715103596759
cifar10-vs-cifar100,entropy-2-nlpd,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.0541825,0.009278729371524961,0.016511530358934625
cifar-vs-imagenet64,entropy-2-nlpd,natural images,reject,4000,100,256,0.99,0.9455124752390653,0.9982326134344526,0.04339,0.006350818844841979,0.029950496624919696
