comparison,scorer,expected,im_size,n_target,n_test,target_score_std,test_score_std,seed,secs,KL,KL_p,JS,JS_p,wasserstein,wasserstein_p,KS,KS_p,CVM,CVM_p,AD,AD_p
control-disjoint,entropy-2-mse,accept,32,4000,4000,0.029994073266467105,0.0299787272849015,0,3.4,0.01238893849131538,0.34265734265734266,0.06573312393727354,0.35664335664335667,0.0017578125000000003,0.014985014985014986,0.02425,0.19015817684498368,0.48290332812507586,0.044032194486888,2.926932285576592,0.020798398035065637
cifar10-vs-cifar100,entropy-2-mse,reject,32,4000,4000,0.029994073266467105,0.02954999708508059,0,3.2,0.010173667949004116,0.7642357642357642,0.05862305654366719,0.8251748251748252,0.0006708984375,0.7002997002997003,0.0125,0.913528996183277,0.07455257812512173,0.7241011319688093,-0.5939441495265367,0.25
cifar-vs-imagenet64,entropy-2-mse,reject,32,4000,4000,0.029994073266467105,0.0290799320403542,0,3.0,0.017501604323238787,0.026973026973026972,0.07691460952706616,0.03996003996003996,0.00245703125,0.000999000999000999,0.03725,0.0077683853794275485,1.3371056250000493,0.00040710907185737,8.954219789409946,0.001
cifar-vs-dtd,entropy-2-mse,reject,32,4000,4000,0.029994073266467105,0.028084889950800662,0,10.8,0.015352083617148763,0.030969030969030968,0.06891371191090775,0.0899100899100899,0.0016708984374999994,0.01998001998001998,0.035,0.014887381414298656,0.47132967187508257,0.0471386938759768,3.739250456787379,0.010119042109791112
cifar-vs-oneclass,entropy-2-mse,reject,32,4000,4000,0.029994073266467105,0.031102250437253856,0,2.8,0.009656460385597697,0.6803196803196803,0.06112753918498485,0.5174825174825175,0.0013222656250000005,0.07692307692307693,0.0195,0.43247526803789643,0.2468039062500793,0.19253953045567695,1.151457371373808,0.10920022321453023
cifar-vs-uniform,entropy-2-mse,reject,32,4000,4000,0.029994073266467105,0.03143807994997726,0,2.7,0.014577238172350916,0.08691308691308691,0.07304264649476831,0.052947052947052944,0.0030966796875000003,0.000999000999000999,0.04825,0.00018018001071040503,2.0690783593749984,8.938499847288561e-06,13.555240665891484,0.001
control-disjoint,entropy-2-mse,accept,64,4000,4000,0.01772726391799581,0.017650445817930953,0,3.0,0.011110923474470569,0.5924075924075924,0.06265192427131933,0.5884115884115884,0.0005510253906249997,0.2997002997002997,0.01775,0.5543126773045001,0.16842040625010668,0.33807352932809076,0.13698824144654623,0.25
cifar10-vs-cifar100,entropy-2-mse,reject,64,4000,4000,0.01772726391799581,0.017750438320429694,0,3.4,0.008821008970208087,0.8791208791208791,0.05645294301804947,0.8631368631368631,0.0005092773437500001,0.3936063936063936,0.0215,0.31359125670612564,0.20886221875002775,0.2509738330194723,0.011640326520930746,0.25
cifar-vs-imagenet64,entropy-2-mse,reject,64,4000,4000,0.01772726391799581,0.016808785152209894,0,3.2,0.015130918880925581,0.1068931068931069,0.07246437849808808,0.11788211788211789,0.001364013671875,0.002997002997002997,0.04825,0.00018018001071040503,1.2257302187501864,0.0007346442341904513,9.402250011296385,0.001
cifar-vs-dtd,entropy-2-mse,reject,64,4000,4000,0.01772726391799581,0.01815959319064184,0,11.1,0.014721108898700586,0.03396603396603397,0.07438811725392779,0.02097902097902098,0.0016049804687499989,0.000999000999000999,0.04725,0.0002640660637432938,1.483667765625114,0.00018809719470203046,8.846921587327348,0.001
